timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
2169025111,800000.0,1.0,23714.477,0.0,115810,31276,3549.7844,9715,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2170022077,800000.0,1.0,23583.11,0.0,116224,31276,3660.1511,9761,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2171023728,800000.0,1.0,23708.932,0.0,116639,31276,3554.191,9807,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2172022741,800000.0,1.0,23611.799,0.0,117058,31276,3548.9058,9854,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2173024309,800000.0,1.0,23763.447,0.0,117477,31276,3592.8105,9900,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2174024075,800000.0,1.0,23804.797,0.0,117894,31276,3547.7727,9946,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2175024778,800000.0,1.0,23687.715,0.0,118312,31276,3549.0652,9992,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2176024549,800000.0,1.0,23646.254,0.0,118727,31276,3549.4336,10038,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2177024135,800000.0,1.0,23698.264,0.0,119146,31276,3552.891,10084,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2178024958,800000.0,1.0,23818.951,0.0,119563,31276,3547.0576,10130,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2179025045,800000.0,1.0,23727.38,0.0,119982,31276,3546.789,10176,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2180022764,800000.0,1.0,23633.014,0.0,120399,31276,3641.766,10254,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2181025760,800000.0,1.0,23905.117,0.0,120818,31276,6220.77,10341,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2182027784,800000.0,1.0,24103.883,0.0,121236,31276,6150.102,10428,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2183024209,800000.0,1.0,23859.281,0.0,121654,31276,6252.495,10513,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2184023584,800000.0,1.0,23742.92,0.0,122071,31276,6085.341,10599,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2185025565,800000.0,1.0,23868.012,0.0,122490,31276,6217.0957,10686,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2186024703,800000.0,1.0,23861.893,0.0,122906,31276,6134.89,10772,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2187024160,800000.0,1.0,23880.977,0.0,123325,31276,6155.994,10857,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2188024259,800000.0,1.0,23734.271,0.0,123740,31276,6137.7095,10943,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2189024352,800000.0,1.0,23818.848,0.0,124159,31276,6148.7324,11029,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2190024276,800000.0,1.0,23756.578,0.0,124576,31276,6138.5786,11115,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2191025747,800000.0,1.0,23789.672,0.0,124995,31276,6139.9136,11201,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
