timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
115797758,115794369,3932170,7999.1177,7.8116384,132.79785,147.70201,187.47932,nan,156.897,nan,nan,nan,156.17789,nan,nan,nan,10.0,10.0,10.0,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,321.0,167.0,202.0
115860516,115858151,3932170,7999.1177,7.8116384,nan,nan,nan,nan,54.68147,86.64714,nan,nan,62.811554,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,338.0,159.0,178.0
115921967,115919417,3932170,7999.1177,7.8116384,93.075424,nan,nan,nan,nan,nan,nan,nan,54.68147,147.70201,179.00345,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,10.0,nan,342.0,166.0,190.0
115957741,115954483,3932170,7999.1177,7.8116384,78.780624,nan,nan,nan,187.13351,nan,nan,nan,39.058193,54.68147,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,16.0,nan,nan,326.0,168.0,191.0
116020168,116018212,3932170,7999.1177,7.8116384,62.493107,156.897,nan,nan,nan,nan,nan,nan,55.400585,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,324.0,155.0,174.0
116054261,116050757,3932170,7999.1177,7.8116384,63.212223,nan,nan,nan,39.058193,nan,nan,nan,54.68147,78.780624,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,315.0,166.0,196.0
116117496,116114493,3932170,7999.1177,7.8116384,46.86983,nan,nan,nan,39.058193,164.70863,nan,nan,54.68147,39.058193,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,17.0,10.0,nan,nan,318.0,171.0,186.0
116148965,116147009,3932170,7999.1177,7.8116384,32.11817,188.14355,nan,nan,nan,nan,nan,nan,39.058193,54.68147,93.73966,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,16.0,16.0,10.0,nan,307.0,162.0,193.0
116212441,116210781,3932170,7999.1177,7.8116384,nan,nan,nan,nan,101.5513,179.72256,nan,nan,46.86983,132.79785,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,17.0,10.0,nan,nan,319.0,192.0,197.0
116274131,116272055,3932170,7999.1177,7.8116384,139.94525,nan,nan,nan,109.36294,nan,nan,nan,46.86983,39.058193,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,17.0,9.0,nan,nan,321.0,188.0,208.0
116308431,116307068,3932170,7999.1177,7.8116384,140.6095,nan,nan,nan,78.8355,77.39726,171.85605,nan,39.058193,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,nan,10.0,nan,nan,nan,306.0,161.0,163.0
